t_seconds,timestamp,kind,detail,magnitude
188.267,03:08.267,attention,CAMERA_LENS az=-0.0 el=+1.2 share=0.00,34.5223
188.933,03:08.933,expression,cheek_tension peak=0.075 dur=1.68s,0.0747
190.600,03:10.600,blink_partial,dur=246ms depth=0.57,0.5692
195.033,03:15.033,attention,MAIN_MONITOR_CENTER az=-2.3 el=-9.8 share=0.36,11.2942
195.600,03:15.600,blink,dur=243ms depth=0.97,0.9664
199.600,03:19.600,state_change,WAITING -> IDLE_ATTENTIVE,0.0000
203.233,03:23.233,blink,dur=207ms depth=0.97,0.9681
205.867,03:25.867,state_change,IDLE_ATTENTIVE -> READING,0.0000
208.533,03:28.533,head_pitch,"to=(-0.78,-1.65,+0.95)deg dur=1.29s",2.7969
213.567,03:33.567,attention,MAIN_MONITOR_LOWER az=-9.7 el=-20.7 share=0.88,13.1097
217.467,03:37.467,attention,MAIN_MONITOR_CENTER az=-4.6 el=-10.5 share=0.61,11.4111
218.500,03:38.500,expression,brow_tension peak=0.172 dur=1.52s,0.1720
223.133,03:43.133,attention,CHAT_REGION az=+25.7 el=-9.8 share=0.88,30.3325
226.667,03:46.667,blink,dur=194ms depth=0.99,0.9872
227.767,03:47.767,attention,MAIN_MONITOR_LOWER az=-7.0 el=-20.0 share=0.88,34.2340
230.433,03:50.433,state_change,READING -> CHECKING_CHAT,0.0000
230.900,03:50.900,attention,MAIN_MONITOR_CENTER az=-6.1 el=-10.6 share=0.59,9.3849
234.433,03:54.433,attention,CAMERA_LENS az=+0.5 el=+0.8 share=0.00,13.1502
235.833,03:55.833,state_change,CHECKING_CHAT -> IDLE_ATTENTIVE,0.0000
240.167,04:00.167,blink_partial,dur=252ms depth=0.71,0.7067
241.233,04:01.233,attention,MAIN_MONITOR_CENTER az=-2.0 el=-13.7 share=0.53,14.6802
244.800,04:04.800,expression,mouth_settle peak=0.217 dur=2.40s,0.2167
250.533,04:10.533,attention,DESK_MOUSE az=-16.3 el=-30.1 share=0.83,21.8323
251.600,04:11.600,blink,dur=206ms depth=0.97,0.9653
252.233,04:12.233,attention,CHAT_REGION az=+25.3 el=-9.8 share=0.88,46.3179
259.867,04:19.867,attention,SECONDARY_MONITOR az=-27.6 el=-5.9 share=0.88,52.9831
259.933,04:19.933,state_change,IDLE_ATTENTIVE -> THINKING,0.0000
259.933,04:19.933,expression_emotion,FOCUSED,0.5699
262.233,04:22.233,attention,CAMERA_LENS az=-0.2 el=+1.3 share=0.00,28.3288
263.700,04:23.700,state_change,THINKING -> IDLE_ATTENTIVE,0.0000
265.333,04:25.333,blink,dur=225ms depth=0.97,0.9685
265.767,04:25.767,posture_shift,"to=(-0.0031,-0.0001) dur=2.54s",0.0199
265.900,04:25.900,expression,brow_tension peak=0.203 dur=1.81s,0.2029
268.433,04:28.433,blink,dur=242ms depth=0.99,0.9891
269.400,04:29.400,attention,MAIN_MONITOR_CENTER az=-5.2 el=-12.2 share=0.50,14.3676
269.833,04:29.833,blink,dur=150ms depth=0.97,0.9716
270.933,04:30.933,state_change,IDLE_ATTENTIVE -> CHECKING_CHAT,0.0000
273.900,04:33.900,attention,MAIN_MONITOR_LOWER az=-3.1 el=-19.3 share=0.88,7.3761
273.933,04:33.933,blink,dur=215ms depth=0.96,0.9603
275.733,04:35.733,state_change,CHECKING_CHAT -> MILD_POSITIVE,0.0000
275.733,04:35.733,expression_emotion,SMALL_SMILE,0.8358
276.367,04:36.367,attention,CAMERA_LENS az=-0.4 el=+1.3 share=0.00,20.7336
277.933,04:37.933,state_change,MILD_POSITIVE -> IDLE_ATTENTIVE,0.0000
279.900,04:39.900,attention,MAIN_MONITOR_CENTER az=-5.2 el=-10.7 share=0.44,12.9621
282.900,04:42.900,blink_partial,dur=252ms depth=0.60,0.5968
285.367,04:45.367,attention,SECONDARY_MONITOR az=-32.0 el=-6.4 share=0.88,27.0804
288.567,04:48.567,state_change,IDLE_ATTENTIVE -> FOCUSED,0.0000
288.567,04:48.567,expression_emotion,FOCUSED,0.8625
291.333,04:51.333,attention,MAIN_MONITOR_CENTER az=-2.8 el=-11.3 share=0.54,29.5504
291.500,04:51.500,blink,dur=150ms depth=0.99,0.9892
293.467,04:53.467,attention,MAIN_MONITOR_LOWER az=-4.4 el=-20.8 share=0.88,9.5936
293.467,04:53.467,head_pitch,"to=(-1.45,-0.07,+2.02)deg dur=0.91s",1.5810
296.233,04:56.233,attention,DESK_MOUSE az=-15.8 el=-28.0 share=0.88,13.4463
298.600,04:58.600,attention,CAMERA_LENS az=-1.0 el=+1.2 share=0.00,32.8038
