t_seconds,timestamp,kind,detail,magnitude
132.600,02:12.600,expression,jaw_release peak=0.173 dur=2.68s,0.1732
133.733,02:13.733,attention,MAIN_MONITOR_UPPER az=-1.7 el=-4.5 share=0.00,13.8075
134.467,02:14.467,subfixation,MAIN_MONITOR_LOWER az=-6.5 el=-19.8 share=0.72,16.0729
136.433,02:16.433,subfixation,MAIN_MONITOR_CENTER az=-4.7 el=-10.4 share=0.40,9.6270
139.233,02:19.233,attention,MAIN_MONITOR_RIGHT az=+5.1 el=-10.8 share=0.38,9.8168
139.467,02:19.467,blink,dur=248ms depth=0.96,0.9613
139.633,02:19.633,subfixation,MAIN_MONITOR_LOWER az=-4.1 el=-18.2 share=0.65,11.8016
142.100,02:22.100,state_change,IDLE_ATTENTIVE -> MILD_POSITIVE,0.0000
142.100,02:22.100,expression_emotion,SMALL_SMILE,0.9417
143.267,02:23.267,subfixation,MAIN_MONITOR_LEFT az=-14.4 el=-11.4 share=0.61,12.3708
145.600,02:25.600,state_change,MILD_POSITIVE -> IDLE_ATTENTIVE,0.0000
146.800,02:26.800,attention,MAIN_MONITOR_RIGHT az=+6.5 el=-12.1 share=0.45,20.8998
147.400,02:27.400,subfixation,MAIN_MONITOR_UPPER az=-3.6 el=-6.8 share=0.17,11.3854
148.500,02:28.500,attention,MAIN_MONITOR_LEFT az=-14.3 el=-11.1 share=0.60,11.5181
149.100,02:29.100,subfixation,MAIN_MONITOR_LOWER az=-6.1 el=-19.5 share=0.71,11.7077
150.733,02:30.733,attention,MAIN_MONITOR_RIGHT az=+9.0 el=-11.5 share=0.48,17.0820
151.300,02:31.300,subfixation,MAIN_MONITOR_CENTER az=-4.2 el=-12.2 share=0.47,13.2479
151.900,02:31.900,head_yaw,"to=(+0.67,+0.65,+0.21)deg dur=1.13s",2.2744
152.800,02:32.800,attention,CAMERA_LENS az=+0.3 el=+1.1 share=0.00,14.0625
157.000,02:37.000,attention,MAIN_MONITOR_CENTER az=-0.6 el=-12.8 share=0.47,13.9982
157.467,02:37.467,subfixation,MAIN_MONITOR_UPPER az=-4.1 el=-6.1 share=0.15,7.6431
159.767,02:39.767,subfixation,MAIN_MONITOR_LEFT az=-14.0 el=-11.4 share=0.60,11.2311
160.633,02:40.633,blink,dur=214ms depth=1.00,0.9981
161.467,02:41.467,subfixation,MAIN_MONITOR_CENTER az=-3.2 el=-10.9 share=0.40,10.8967
164.533,02:44.533,state_change,IDLE_ATTENTIVE -> THINKING,0.0000
164.533,02:44.533,expression_emotion,FOCUSED,0.4637
164.667,02:44.667,head_yaw,"to=(+1.54,+0.16,+0.41)deg dur=0.69s",0.8662
164.867,02:44.867,blink,dur=150ms depth=0.99,0.9910
165.333,02:45.333,attention,SECONDARY_MONITOR az=-29.6 el=-5.3 share=0.69,27.0437
169.333,02:49.333,state_change,THINKING -> IDLE_ATTENTIVE,0.0000
169.933,02:49.933,blink,dur=248ms depth=0.97,0.9698
171.100,02:51.100,attention,MAIN_MONITOR_CENTER az=-0.8 el=-11.7 share=0.42,29.4878
172.033,02:52.033,expression,mouth_settle peak=0.107 dur=2.11s,0.1073
176.167,02:56.167,subfixation,MAIN_MONITOR_LOWER az=-4.1 el=-20.0 share=0.71,8.9396
178.667,02:58.667,blink_partial,dur=264ms depth=0.68,0.6794
179.033,02:59.033,subfixation,MAIN_MONITOR_CENTER az=-5.5 el=-10.8 share=0.44,9.3044
180.000,02:60.000,attention,CAMERA_LENS az=-0.6 el=+0.9 share=0.00,12.6952
180.367,03:00.367,head_roll,"to=(+0.63,+0.61,-0.62)deg dur=0.74s",1.0314
184.900,03:04.900,attention,DESK_MOUSE az=-13.6 el=-28.0 share=0.77,31.7381
185.167,03:05.167,state_change,IDLE_ATTENTIVE -> READING,0.0000
186.067,03:06.067,attention,MAIN_MONITOR_LEFT az=-14.1 el=-11.8 share=0.88,16.2529
187.833,03:07.833,subfixation,MAIN_MONITOR_RIGHT az=+6.5 el=-12.4 share=0.67,20.6428
188.500,03:08.500,blink_partial,dur=194ms depth=0.72,0.7189
189.333,03:09.333,attention,MAIN_MONITOR_CENTER az=-3.5 el=-13.2 share=0.73,9.9909
191.800,03:11.800,expression,brow_tension peak=0.046 dur=1.85s,0.0461
192.300,03:12.300,subfixation,MAIN_MONITOR_LOWER az=-5.0 el=-18.6 share=0.88,5.6399
194.167,03:14.167,subfixation,MAIN_MONITOR_LEFT az=-15.1 el=-10.6 share=0.88,12.9323
195.533,03:15.533,head_pitch,"to=(+0.86,-0.86,+0.24)deg dur=0.88s",1.4693
195.800,03:15.800,subfixation,MAIN_MONITOR_UPPER az=-1.9 el=-6.2 share=0.11,13.9492
196.933,03:16.933,subfixation,MAIN_MONITOR_LEFT az=-12.7 el=-12.4 share=0.86,12.5256
198.733,03:18.733,subfixation,MAIN_MONITOR_LOWER az=-3.6 el=-17.6 share=0.88,10.4801
199.333,03:19.333,state_change,READING -> IDLE_ATTENTIVE,0.0000
199.767,03:19.767,attention,MAIN_MONITOR_RIGHT az=+8.6 el=-10.0 share=0.43,14.4589
200.300,03:20.300,subfixation,MAIN_MONITOR_LOWER az=-3.7 el=-19.4 share=0.69,15.5592
203.133,03:23.133,attention,MAIN_MONITOR_CENTER az=-1.3 el=-11.8 share=0.42,7.9681
203.600,03:23.600,subfixation,MAIN_MONITOR_RIGHT az=+8.3 el=-11.1 share=0.46,9.6938
205.000,03:25.000,subfixation,MAIN_MONITOR_CENTER az=-2.9 el=-13.0 share=0.49,11.3482
205.767,03:25.767,subfixation,MAIN_MONITOR_LEFT az=-14.2 el=-12.2 share=0.62,11.3249
206.600,03:26.600,subfixation,MAIN_MONITOR_CENTER az=-1.9 el=-12.8 share=0.47,12.3226
209.000,03:29.000,subfixation,MAIN_MONITOR_LOWER az=-5.1 el=-19.3 share=0.69,7.2090
210.733,03:30.733,blink,dur=191ms depth=0.98,0.9762
210.767,03:30.767,attention,MAIN_MONITOR_UPPER az=-3.0 el=-6.9 share=0.16,12.5424
211.733,03:31.733,attention,MAIN_MONITOR_CENTER az=-5.6 el=-12.5 share=0.51,6.1701
212.133,03:32.133,subfixation,MAIN_MONITOR_LEFT az=-13.6 el=-11.6 share=0.60,8.0501
213.400,03:33.400,blink,dur=204ms depth=0.96,0.9619
213.667,03:33.667,blink,dur=203ms depth=0.96,0.9629
214.467,03:34.467,state_change,IDLE_ATTENTIVE -> MILD_POSITIVE,0.0000
214.467,03:34.467,expression_emotion,SMALL_SMILE,1.0704
214.667,03:34.667,attention,MAIN_MONITOR_LOWER az=-3.4 el=-19.6 share=0.69,12.9288
215.633,03:35.633,attention,MAIN_MONITOR_CENTER az=-6.3 el=-11.8 share=0.49,8.3210
216.100,03:36.100,subfixation,MAIN_MONITOR_LOWER az=-3.5 el=-18.3 share=0.65,7.0828
217.467,03:37.467,blink,dur=211ms depth=1.00,0.9972
218.367,03:38.367,state_change,MILD_POSITIVE -> IDLE_RELAXED,0.0000
218.867,03:38.867,subfixation,MAIN_MONITOR_CENTER az=-3.4 el=-12.0 share=0.38,6.2602
220.100,03:40.100,subfixation,MAIN_MONITOR_LEFT az=-12.9 el=-11.7 share=0.49,9.4472
221.633,03:41.633,expression,jaw_release peak=0.257 dur=2.24s,0.2568
222.933,03:42.933,subfixation,MAIN_MONITOR_UPPER az=-1.8 el=-6.6 share=0.09,12.2185
223.600,03:43.600,blink,dur=179ms depth=0.97,0.9662
224.800,03:44.800,subfixation,MAIN_MONITOR_CENTER az=-4.3 el=-13.1 share=0.43,6.9248
225.867,03:45.867,subfixation,MAIN_MONITOR_UPPER az=-4.4 el=-6.0 share=0.13,7.0655
227.667,03:47.667,subfixation,MAIN_MONITOR_RIGHT az=+4.7 el=-9.5 share=0.27,9.7351
228.000,03:48.000,blink_partial,dur=198ms depth=0.75,0.7450
